,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
I1,-0.5899721271918437,0.309692528695966,-0.367530289858484,-0.46696998083162405,-0.08774648260911895,0.1843334973436967,0.2506352061310014,-0.03721167292137407,0.14366428667435033,0.2686745943028228,0.06352878780206507,0.011898717119037328
I2a,0.09149993922879048,-0.5409079706162743,0.6207803820697517,-0.361139592575374,-0.13351105733177532,-0.27267204629072267,0.25585882420868783,0.14334012217507516,0.05042866679318739,-0.0347887217869088,-0.03131705069587876,0.018352146618581876
I2b,-0.30422746860642613,0.6348383816234104,-0.15188691665828968,-0.5111250303563233,-0.27791503536258955,-0.023721235786865188,-0.02395134662071251,-0.008737570883554705,-0.1466989093891354,-0.34176521025470863,-0.0576806778692996,0.0026227544253482012
R1a,-0.47055638251284254,-0.6260033868176825,-0.2793384438073723,-0.1692571131072539,-0.16735451543427968,-0.18711284470398756,-0.4594351405889808,-0.031050446441956765,0.05153819146444993,0.030283593344022523,0.03221629574566647,0.018542222211612922
R1b,0.02010088529151879,0.8459866260696546,0.2642270303581883,0.4341373252047757,0.009424544029411943,-0.018841513423279475,-0.10181628028701462,0.016614975633088617,0.1153816195755861,0.0009140209505648787,0.010811019991007071,0.03308131625972889
G,0.7278326587400529,0.26935759941642684,-0.21438163373216385,-0.04855945680306858,-0.09748163704768989,-0.3743879331063997,0.009872320661561572,0.08764625877707348,-0.38295477821469487,0.20922414020365102,0.03848826148426524,0.005461327474140114
J2,0.8715673141791163,-0.12060606378005888,-0.20939269941840646,-0.1307537290939313,0.056619917099916206,0.14126327877448017,-0.01049868538627931,-0.17265747470594303,0.0646852858489424,0.042285649690877045,-0.3251264594930695,0.011014628707191684
J1,0.7874121661152285,-0.036816230740818544,-0.2531265949677922,-0.028130424874742776,0.048767260941785046,-0.2850699451442288,0.1253934452137991,-0.3464601734887801,0.19847904975094988,-0.14447664825869863,0.18462545811563286,0.0026400334973270437
E1b1b,0.6637825941171863,-0.21688940234104226,0.2496329715844287,-0.21681663632908665,-0.03842920980858976,0.569510389267279,-0.09804283731155475,-0.08036748942849237,-0.1811464736578358,-0.018039435934535154,0.1669156356127592,0.011621793043202806
T,0.728267254316342,-0.02176447975400309,-0.3839868786360011,-0.037764258131416144,-0.0006136145558223128,0.091061895398426,-0.015843293870484897,0.5126803697447525,0.1962200497692362,-0.08990702642368181,0.04805426265406029,0.0012005269947790503
Q,-0.19345390249865083,0.06895540993100703,-0.013705219452680136,-0.3094722498944796,0.9190066097388659,-0.07657079239705868,-0.048968790068254796,0.04368760229670582,-0.07002077753127628,-0.04506333565503163,0.011522673095917051,0.007117799193237479
N,-0.4462434126596328,-0.5041628829910388,-0.43147441750614546,0.45562087571154214,0.036072339002326606,0.10421780723772582,0.28370348718016936,0.010633485055697925,-0.1956471702982753,-0.14635899071603728,-0.009316135833086337,0.01942123323766416
